Symbol;Quantity;Order Type;Price;DateTime Created;Bid Triggerd;Ask Triggered;DateTime Executed;Price Executed;Buy/Sell;Time Difference;Price Difference;DateTime Closed;Price Closed;Resulting Points
DPRO;100;Market;8.35;2025.09.30 14:35:13.287;8.34;8.35;2025.09.30 14:35:13.447;8.35;Buy;0.160;0;2025.09.30 14:36:10.925;8.44;0.09
DPRO;100;Market;8.12;2025.09.30 14:51:02.631;8.1;8.12;2025.09.30 14:51:02.867;8.13;Buy;0.236;0.01;2025.09.30 14:51:16.870;8.1;-0.03
DPRO;100;Market;8.14;2025.09.30 14:52:50.431;8.12;8.14;2025.09.30 14:52:50.630;8.14;Buy;0.198;0;2025.09.30 14:53:45.944;8.07;-0.07
DPRO;300;Market;8.16;2025.09.30 14:55:10.886;8.15;8.16;2025.09.30 14:55:10.967;8.16;Buy;0.081;0;2025.09.30 14:55:20.569;8.15;-0.01
DPRO;200;Market;8.24;2025.09.30 15:15:09.250;8.22;8.24;2025.09.30 15:15:09.366;8.24;Buy;0.117;0;2025.09.30 15:15:47.550;8.24;0
DPRO;200;Market;8.3;2025.09.30 15:19:45.018;8.28;8.3;2025.09.30 15:19:45.081;8.3;Buy;0.063;0;2025.09.30 15:20:05.357;8.32;0.02
DPRO;200;Market;8.33;2025.09.30 15:20:36.462;8.31;8.33;2025.09.30 15:20:52.786;8.33;Buy;16.324;0;2025.09.30 15:21:06.693;8.32;-0.01
