Symbol;Quantity;Order Type;Price;DateTime Created;Bid Triggerd;Ask Triggered;DateTime Executed;Price Executed;Buy/Sell;Time Difference;Price Difference;DateTime Closed;Price Closed;Resulting Points
EPOW;400;Market;1.67;2025.09.30 10:20:24.270;1.67;1.67;2025.09.30 10:20:24.483;1.68;Buy;0.214;0.01;2025.09.30 10:20:34.018;1.72;0.04
EPOW;1000;Market;1.73;2025.09.30 10:22:47.585;1.72;1.73;2025.09.30 10:22:47.640;1.73;Buy;0.055;0;2025.09.30 10:23:14.941;1.71;-0.02
EPOW;1000;Market;1.84;2025.09.30 10:39:16.392;1.84;1.84;2025.09.30 10:39:16.447;1.85;Buy;0.055;0.01;2025.09.30 10:39:49.506;1.84;-0.01
EPOW;300;Market;1.85;2025.09.30 10:40:07.691;1.84;1.85;2025.09.30 10:40:07.802;1.85;Buy;0.111;0;2025.09.30 10:40:29.996;1.86;0.01
EPOW;100;Market;1.86;2025.09.30 10:41:48.211;1.85;1.86;2025.09.30 10:41:48.293;1.86;Buy;0.081;0;2025.09.30 10:43:12.794;1.83;-0.03
EPOW;500;Market;1.49;2025.09.30 15:35:23.816;1.48;1.49;2025.09.30 15:35:23.910;1.49;Buy;0.095;0;2025.09.30 15:36:12.939;1.46;-0.03
