Symbol;Quantity;Order Type;Price;DateTime Created;Bid Triggerd;Ask Triggered;DateTime Executed;Price Executed;Buy/Sell;Time Difference;Price Difference;DateTime Closed;Price Closed;Resulting Points
SPRC;200;Market;7.2;2025.09.30 12:42:55.303;7.19;7.2;2025.09.30 12:42:55.871;7.2;Buy;0.568;0;2025.09.30 12:43:54.619;7.19;-0.01
SPRC;100;Market;6.31;2025.09.30 15:38:06.938;6.28;6.31;2025.09.30 15:38:07.304;6.32;Buy;0.365;0.01;2025.09.30 15:38:28.006;6.22;-0.1
SPRC;100;Market;6.19;2025.09.30 15:41:54.961;6.18;6.19;2025.09.30 15:41:55.788;6.2;Buy;0.826;0.01;2025.09.30 15:42:02.893;6.16;-0.04
SPRC;100;Market;6.18;2025.09.30 15:44:03.576;6.17;6.18;2025.09.30 15:44:05.105;6.19;Buy;1.529;0.01;2025.09.30 15:44:07.078;6.15;-0.04
SPRC;200;Market;6.25;2025.09.30 15:44:13.572;6.2;6.25;2025.09.30 15:44:15.321;6.23;Buy;1.750;-0.02;2025.09.30 15:44:22.836;6.18;-0.05
SPRC;200;Market;6.47;2025.09.30 16:00:10.185;6.44;6.47;2025.09.30 16:00:10.572;6.49;Buy;0.387;0.02;2025.09.30 16:00:28.444;6.55;0.06
